"","IP","X_","audio","condition","experimentName","item","response1","response1_time","sound1","time","trialnumber","userCode","userFileName","view"
"44","46.188.121.249",1418419746650,"22_1_fill","NM_Pl","HSElist1Dec12","fill","Ошибка!",4170,1,NA,30,"MVQ4",4,"stimulus.ejs"
"45","46.188.121.249",1418419757727,"23_1_exp","NM_Sg","HSElist1Dec12","exp","Ошибка!",5653,1,NA,31,"MVQ4",4,"stimulus.ejs"
"46","46.188.121.249",1418419767406,"24_1_fill","M_Pauc","HSElist1Dec12","fill","",NA,1,NA,32,"MVQ4",4,"stimulus.ejs"
"47","46.188.121.249",1418419776839,"25_1_fill","M_Pl","HSElist1Dec12","fill","",NA,1,NA,33,"MVQ4",4,"stimulus.ejs"
"48","46.188.121.249",1418419787776,"26_1_exp","M_Sg","HSElist1Dec12","exp","",NA,1,NA,34,"MVQ4",4,"stimulus.ejs"
"49","46.188.121.249",1418419799831,"27_1_exp","NM_Pl","HSElist1Dec12","exp","Ошибка!",6037,1,NA,35,"MVQ4",4,"stimulus.ejs"
"50","46.188.121.249",1418419810247,"28_1_fill","M_Pauc","HSElist1Dec12","fill","",NA,1,NA,36,"MVQ4",4,"stimulus.ejs"
"51","46.188.121.249",1418419821096,"29_1_exp","M_Pl","HSElist1Dec12","exp","",NA,1,NA,37,"MVQ4",4,"stimulus.ejs"
"52","46.188.121.249",1418419831847,"30_1_fill","NM_Pauc","HSElist1Dec12","fill","Ошибка!",5956,1,NA,38,"MVQ4",4,"stimulus.ejs"
"53","46.188.121.249",1418419846569,"31_1_fill","NM_Pl","HSElist1Dec12","fill","Ошибка!",4497,1,NA,39,"MVQ4",4,"stimulus.ejs"
"54","46.188.121.249",1418419858388,"32_1_exp","NM_Sg","HSElist1Dec12","exp","Ошибка!",5871,1,NA,40,"MVQ4",4,"stimulus.ejs"
"55","46.188.121.249",1418419870296,"33_1_exp","M_Sg","HSElist1Dec12","exp","",NA,1,NA,41,"MVQ4",4,"stimulus.ejs"
